sabha,work_id,work_category,work,state,ida,mp_name,elected_nominated,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,expenditure_total_rs,expenditure_transaction_count,expenditure_first_date,expenditure_last_date,expenditure_vendor_count,expenditure_payment_status_count,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_total_rs,consent_event_count,consent_calamity_type_count,consent_calamity_name_count,recommendation_sanction_gap_rs,expenditure_to_sanction_ratio,recommendation_to_sanction_days,sanction_to_completion_days,completed,sr_no,image
Rajya Sabha,WS/MP850/2024-2025/17451,Normal/Others,WS/MP850/2024-2025/17451-Construction of community centers and community halls,Uttarakhand,PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA),Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,CONSTRUCTION OF TIN SHED IN EXISTING PANCHAYAT BHAWAN OF SILSU TALLA GAON . IA( KARYADAI SANSTATHA ) - BLOCK KOT,2023-09-07,200000.0,2024-06-14,200000.0,Work Completed,,,,,,,2025-04-04,200000.0,222043184.71,,,,,0.0,,281,294.0,1,879,Images
Rajya Sabha,WS/MP844/2023-2024/17502,Normal/Others,WS/MP844/2023-2024/17502-Providing drains and gutters for public drainage,Punjab,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),Elected MP,One lakh rupees grant for construction of drain pipeline for waste water,2023-09-07,100000.0,2023-11-14,100000.0,Physical Inspection,,,,,,,2024-12-16,100000.0,198656208.57,10000000.0,1.0,1.0,1.0,0.0,,68,398.0,1,880,Images
Rajya Sabha,WS/MP052/2024-2025/18580,Normal/Others,WS/MP052/2024-2025/18580-Construction of public staircase/ stair ghat for public convenience,Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,Construction work of Stair Ghat near Dharamkanta of Shri Lal Bahadur Sah in Narkatiaganj Bhikhana Thodi Road in ward number 10 of village Satwaria of village Panchayat Raj Kundilpur of block Narkatiaganj. Estimated Amount Rs. 700000/-,2023-09-11,696910.0,2024-10-05,696910.0,Physical Inspection,,,,,,,2026-01-13,696910.0,235263957.11,,,,,0.0,,390,465.0,1,881,
Rajya Sabha,WS/MP052/2023-2024/18581,Normal/Others,WS/MP052/2023-2024/18581-Construction of public staircase/ stair ghat for public convenience,Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,Construction work of ladder ghat in Bade Pokhara of village Pokhariya of village Panchayat Raj Maldahiya of block Narkatiaganj. Estimated Amount 7 lacs.,2023-09-11,687229.0,2023-11-23,687229.0,Physical Inspection,,,,,,,2024-12-16,687229.0,235263957.11,,,,,0.0,,73,389.0,1,882,
Rajya Sabha,WS/MP052/2023-2024/18582,Normal/Others,"WS/MP052/2023-2024/18582-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,PCC road construction work in the path going from the hut of Shri Bawan Dash to the barn of Shri Ravindra Sah in village Somgarh of village Panchayat Raj Somgarh of block Narkatiaganj. Established Amount Rs. 9 lacs,2023-09-11,997095.0,2024-03-12,997095.0,Physical Inspection,,,,,,,2024-12-16,997095.0,235263957.11,,,,,0.0,,183,279.0,1,883,
Rajya Sabha,WS/MP052/2023-2024/18586,Normal/Others,"WS/MP052/2023-2024/18586-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,PCC road construction work in the road connecting Siswa main road to Vijbaniya main road of Village Panchayat Raj Puraniya Harsari of Block Narkatiaganj.Estimated Rs. 9 lacs.,2023-09-11,891123.0,2024-01-31,891123.0,Physical Inspection,,,,,,,2024-12-16,891123.0,235263957.11,,,,,0.0,,142,320.0,1,884,
Rajya Sabha,WS/MP052/2023-2024/18588,Normal/Others,"WS/MP052/2023-2024/18588-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,PCC road construction work from Shri Ambika Thakur's house in Ward No. 25 of Pipra Diulia of Narkatiaganj Municipal Council Narkatiaganj via Shri Suraj Srivastava's house to P. W.D Road Narkatiaganj. Estimated Amount Rs. 10 lacs.,2023-09-11,984916.0,2023-11-23,984916.0,Physical Inspection,,,,,,,2024-09-20,984916.0,235263957.11,,,,,0.0,,73,302.0,1,885,
Rajya Sabha,WS/MP190/2023-2024/18878,Normal/Others,WS/MP190/2023-2024/18878-Installing community drinking water plants,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,Construction Work of Water tank With Submer Sible Pump,2023-09-11,223498.0,2024-02-19,223498.0,Physical Inspection,,,,,,,2025-06-23,223498.0,196063957.11,,,,,0.0,,161,490.0,1,886,
Rajya Sabha,WS/MP190/2023-2024/18879,Normal/Others,WS/MP190/2023-2024/18879-Installing community drinking water plants,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,Construction Work of Water tank With Submer Sible Pump,2023-09-11,223498.0,2024-02-19,223498.0,Physical Inspection,,,,,,,2025-06-23,223498.0,196063957.11,,,,,0.0,,161,490.0,1,887,
Rajya Sabha,WS/MP190/2023-2024/18880,Normal/Others,WS/MP190/2023-2024/18880-Installing community drinking water plants,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,Construction Work of Water Tank With Submer Sible Pump,2023-09-11,225000.0,2024-02-19,225000.0,Work Completed,,,,,,,2025-06-23,,196063957.11,,,,,0.0,,161,490.0,1,888,
Rajya Sabha,WS/MP081/2023-2024/18887,Normal/Others,WS/MP081/2023-2024/18887-Construction of common work sheds/ common covered sitting area,Jharkhand,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),Shri Aditya Prasad (2022-28) (2022-2028),Elected MP,"Construction of platform (Chabutra) in kota village, sargeya panchayat, arki block, Khuti",2023-09-12,200000.0,2023-11-17,200000.0,Work Partially Completed,,,,,,,,,227628508.2,,,,,0.0,,66,,0,889,
Rajya Sabha,WS/MP106/2023-2024/19233,Normal/Others,WS/MP106/2023-2024/19233-Construction of community centers and community halls,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Imaliya, Janpad Panchayat Gotegaon ke Gram Imaliya main Samudayik Bhavan main Atirikt Nirman hetu, Vidhan Sabha Gotegaon, Narsinghpur",2023-09-12,500000.0,2024-02-12,500000.0,Physical Inspection,500000.0,2.0,2024-09-05,2025-04-22,1.0,1.0,2026-02-07,500000.0,220563957.11,,,,,0.0,1.0,153,726.0,1,890,
