sabha,work_id,work_category,work,state,mp_name,constituency,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,completed,sr_no,ida,expenditure_date,fund_disbursed_amount_rs,expenditure_sr_no,expenditure_state,expenditure_work,expenditure_ida,expenditure_mp_name,expenditure_constituency,vendor_name,payment_status,image,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_amount_rs,recommendation_sanction_amount_deviation_rs,sanctioned_to_recommended_ratio,disbursement_ratio,remaining_amount_rs,recommendation_to_sanction_days,sanction_to_completion_days,anomaly_score,is_anomaly,anomaly_component,financial_component,execution_component,completeness_component,risk_score,risk_level,risk_indicators,similar_works
Lok Sabha,WS/MP300/2024-2025/157083,Normal/Others,WS/MP300/2024-2025/157083-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village-Hirapur, GP-Hirapur",2024-12-17,500000.0,2025-03-03,,,0,12022,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,76,,-0.10487190482699538,False,0.028584541168010635,0.0,0.09501557632398754,0.75,6.6,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157084,Normal/Others,WS/MP300/2024-2025/157084-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village-Lokipur, GP-Gobindpur",2024-12-17,500000.0,2025-03-20,,,0,12023,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,93,,-0.10718896910696779,False,0.016873050964696726,0.0,0.12149532710280374,0.75,6.42,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157085,Normal/Others,WS/MP300/2025-2026/157085-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Daleisahi, GP-Daleisahi",2024-12-17,500000.0,2025-06-21,,,0,12024,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157086,Normal/Others,WS/MP300/2025-2026/157086-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Khanguria, GP-Khanguria",2024-12-17,500000.0,2025-06-21,,,0,12025,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,292403.0,7378.0,Odisha,Construction of public libraries and reading rooms,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,Bhubaneswar,SANGEETA MAHARANA,Payment Success,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157088,Normal/Others,WS/MP300/2025-2026/157088-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Sankarpur, GP-Arikama",2024-12-17,500000.0,2025-06-21,,,0,12027,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2026-2027/157089,Normal/Others,WS/MP300/2026-2027/157089-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Ramachandrapur, GP-Bankoidesh",2024-12-17,500000.0,2026-05-27,,,0,12028,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,526,,0.04362945140074115,True,0.7791775193915891,0.0,0.5,0.75,50.21,MEDIUM,"['High anomaly intensity', 'Extended recommendation-to-sanction duration', 'Substantial missing information']",[]
Lok Sabha,WS/MP300/2025-2026/157090,Normal/Others,WS/MP300/2025-2026/157090-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Gediapali, GP-Gediapali",2024-12-17,500000.0,2025-06-21,,,0,12029,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157091,Normal/Others,WS/MP300/2025-2026/157091-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Manibandha, GP-Manibandha",2024-12-17,500000.0,2025-06-21,,,0,12030,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,282086.0,7377.0,Odisha,Construction of public libraries and reading rooms,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,Bhubaneswar,SANGEETA MAHARANA,Payment Success,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157092,Normal/Others,WS/MP300/2025-2026/157092-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Champailo, GP-Pichukuli",2024-12-17,500000.0,2025-06-21,,,0,12031,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157093,Normal/Others,WS/MP300/2025-2026/157093-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Talakadab, GP-Kadaba",2024-12-17,500000.0,2025-06-21,,,0,12032,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
